#,Dato,Fuente,Destino,Latencia(s),AnchoBanda(Gbps),Tiempo envio(s),Tiempo recibido (s)
1,02,1,3,320,0.075000, 65,385
2,40,2,1,620,0.038710, 45,665
3,e2,3,1,870,0.027586, 75,945
4,48,0,1,1110,0.021622,115,1225
5,c6,1,3,1330,0.018045,175,1505
6,11,2,1,1640,0.014634,145,1785
7,da,3,2,1860,0.012903,205,2065
8,94,0,2,2180,0.011009,165,2345
9,09,1,2,2120,0.011321,505,2625
10,11,2,1,1900,0.012632,1005,2905
11,ee,0,3,2190,0.010959,1275,3465
12,63,1,3,2130,0.011268,1615,3745
13,f0,3,0,2110,0.011374,2195,4305
14,00,0,2,2180,0.011009,2405,4585
15,63,1,3,1280,0.018750,3585,4865
16,8a,3,0,2160,0.011111,3265,5425
17,63,1,3,1340,0.017910,4645,5985
18,11,2,1,1840,0.013043,4425,6265
19,c5,0,2,2140,0.011215,5805,7945
20,63,1,3,1300,0.018462,6925,8225
