#,Dato,Fuente,Destino,Latencia(s),AnchoBanda(Gbps),Tiempo envio(s),Tiempo recibido (s)
1,48,0,1,400,0.060000, 45,445
2,02,1,3,660,0.036364, 65,725
3,40,2,1,930,0.025806, 75,1005
4,e2,3,1,1170,0.020513,115,1285
5,94,0,2,1470,0.016327,165,1635
6,c6,1,3,1740,0.013793,175,1915
7,11,2,1,2050,0.011707,145,2195
8,da,3,2,2270,0.010573,205,2475
9,ee,0,3,2330,0.010300,495,2825
10,09,1,2,2260,0.010619,845,3105
11,11,2,1,2040,0.011765,1345,3385
12,00,0,2,2320,0.010345,1695,4015
13,63,1,3,2270,0.010573,2025,4295
14,f0,3,0,2250,0.010667,2605,4855
15,1a,0,3,2260,0.010619,2945,5205
16,63,1,3,1410,0.017021,4075,5485
17,8a,3,0,2300,0.010435,3745,6045
18,11,2,1,1980,0.012121,4975,6955
19,c5,0,2,2280,0.010526,5305,7585
20,63,1,3,1370,0.017518,6495,7865
