#,Dato,Fuente,Destino,Latencia(s),AnchoBanda(Gbps),Tiempo envio(s),Tiempo recibido (s)
1,48,0,1,560,0.042857, 45,605
2,02,1,3,820,0.029268, 65,885
3,40,2,1,1090,0.022018, 75,1165
4,e2,3,1,1330,0.018045,115,1445
5,94,0,2,1790,0.013408,165,1955
6,c6,1,3,2060,0.011650,175,2235
7,11,2,1,2370,0.010127,145,2515
8,da,3,2,2590,0.009266,205,2795
9,ee,0,3,2650,0.009057,655,3305
10,09,1,2,2580,0.009302,1005,3585
11,11,2,1,2360,0.010169,1505,3865
12,00,0,2,2640,0.009091,2015,4655
13,63,1,3,2590,0.009266,2345,4935
14,f0,3,0,2570,0.009339,2925,5495
15,1a,0,3,2580,0.009302,3425,6005
16,63,1,3,1570,0.015287,4715,6285
17,8a,3,0,2620,0.009160,4225,6845
18,11,2,1,2300,0.010435,5615,7915
19,c5,0,2,2600,0.009231,6105,8705
20,63,1,3,1530,0.015686,7455,8985
