#,Dato,Fila,Columna,Fuente,Latencia (ns), Ancho de Banda (Gbps)
  1,78653,0,2,13,220,0.182
  2,7ab78,3,5,4,270,0.148
  3,61958,0,4,2,210,0.190
  4,6665d,2,5,5,220,0.182
  5,25d5f,5,2,14,300,0.133
  6,75a62,4,5,11, 80,0.500
  7,65780,0,4,15,400,0.100
  8,09a5f,5,4,10,220,0.182
  9,21441,1,5,10,440,0.091
 10,4517d,5,3,6,505,0.079
 11,08e13,0,1,10,390,0.103
 12,45251,5,1,1,450,0.089
 13,2b2ab,3,5,15,290,0.138
 14,59533,5,4,7,470,0.085
 15,26972,0,3,9,520,0.077
 16,731e5,5,3,9,585,0.068
 17,0f02b,5,2,5,390,0.103
 18,560a7,0,1,2,635,0.063
 19,1c8b9,5,4,15,140,0.286
 20,4b18d,5,3,11,170,0.235
 21,30dd9,5,1,1,560,0.071
 22,3df3c,2,0,7,280,0.143
 23,20c1c,2,5,14,380,0.105
 24,1a665,0,3,1,705,0.057
 25,41c1f,1,5,6,690,0.058
 26,17951,5,3,14,210,0.190
 27,1d5f0,4,5,7,580,0.069
 28,51d99,3,0,10,865,0.046
 29,7fbc9,0,2,10,875,0.046
 30,5800d,0,4,14,200,0.200
 31,66cda,0,2,0,280,0.143
 32,5a155,2,0,6,230,0.174
 33,2a533,1,5,8,750,0.053
 34,36347,5,2,2,350,0.114
 35,47e4c,5,3,9,1005,0.040
 36,346cd,5,2,7,270,0.148
 37,72569,2,0,2,520,0.077
 38,4299f,0,3,11,370,0.108
 39,77fad,0,4,2,300,0.133
 40,4b03e,3,5,15,270,0.148
 41,4e50c,5,2,4,480,0.083
 42,61610,5,1,0,600,0.067
 43,454c5,2,5,8,710,0.056
 44,1e4bc,5,2,4,750,0.053
 45,6cffc,0,2,2,1275,0.031
 46,485f7,5,3,1,620,0.065
 47,5f120,5,1,2,1285,0.031
 48,54d2e,3,0,13,1305,0.031
 49,248f6,0,3,11,1305,0.031
 50,73923,0,4,14,1305,0.031
 51,640a8,2,0,10,1335,0.030
 52,6bf4b,3,0,9,550,0.073
 53,5fd54,5,2,8,290,0.138
 54,603d9,1,0,7,420,0.095
 55,604fd,5,2,4,630,0.063
 56,20d34,4,5,13,1425,0.028
 57,11168,2,5,8,630,0.063
 58,0816c,5,3,2,1445,0.028
 59,606bc,2,0,9,1475,0.027
 60,4a19f,0,1,14,1485,0.027
 61,3373b,0,3,13,1515,0.026
 62,512c3,5,4,10,1525,0.026
 63,09da3,1,5,1,220,0.182
 64,289b2,5,2,6,330,0.121
 65,1a8a1,3,0,12,980,0.041
 66,53af2,4,5,5,660,0.061
 67,4857c,5,2,1,570,0.070
 68,41371,0,4,13,1605,0.025
 69,3148e,4,5,2,1625,0.025
 70,62117,1,5,9,1645,0.024
 71,0428e,1,0,7,1665,0.024
 72,4cc83,5,4,1,780,0.051
 73,3682c,2,5,7,1675,0.024
 74,394ed,4,0,10,1685,0.024
 75,18a53,5,3,6,370,0.108
 76,74c1b,3,0,11,640,0.062
 77,00573,0,4,10,1725,0.023
 78,72f4a,2,0,9,390,0.103
 79,1cc7f,5,2,15,1755,0.023
 80,68801,2,5,7,1090,0.037
 81,0697f,5,1,13,1765,0.023
 82,5c800,0,1,14,1775,0.023
 83,0e14c,4,0,1,680,0.059
 84,6bdcd,0,3,11,1875,0.021
 85,5c6f8,3,5,15,1915,0.021
 86,0cba3,0,1,10,1925,0.021
 87,1450e,1,5,15,1945,0.021
 88,1ebe9,5,3,2,1965,0.020
 89,4ee02,0,1,7,1965,0.020
 90,01a64,2,5,9,1975,0.020
 91,0c60c,5,3,15,2005,0.020
 92,29ba6,4,5,2,2045,0.020
 93,7ed3e,5,1,2,2045,0.020
 94,3619e,3,5,10,2065,0.019
 95,73505,0,2,10,2105,0.019
 96,568ef,3,0,2,2145,0.019
 97,4f8ae,0,1,10,2155,0.019
